ID_P_F,YEAR_F,TMW_F,TML_F,TBW_F,TBL_F,MF_F,ACES_F,DF_F,SRV1_F,WON1_F,WON2_F,SGW_F,BPS_F,PWR1S_F,PWR2S_F,BPW_F,RGW_F,PRIZE_F
5992,2012,75,12,17,12,87,512,147,64,75,56,87,66,35,56,46,35,12803737
19,2012,71,12,21,15,80,665,120,63,78,60,91,69,31,51,42,26,8584842
1075,2012,56,16,18,9,72,521,163,60,74,54,84,67,32,56,41,31,5708230
677,2012,42,6,8,3,48,160,59,67,75,57,88,71,38,55,49,38,4997448
673,2012,76,15,20,13,85,279,178,63,73,57,85,65,34,54,44,31,4409340
831,2012,61,23,20,17,77,649,178,59,77,53,87,71,29,53,42,25,2973967
6465,2012,65,17,28,17,79,594,168,65,75,55,87,69,30,51,43,25,3031003
3985,2012,55,25,22,16,76,653,145,62,76,53,86,69,31,48,42,23,2376640
728,2012,57,28,24,15,81,632,186,58,75,54,83,63,29,50,40,23,2063737
674,2012,42,22,9,11,64,351,124,63,73,56,84,63,32,50,42,27,1562677
4045,2012,58,24,19,24,75,654,152,57,77,55,86,63,28,51,39,22,1334555
1042,2012,39,19,11,8,55,95,112,68,67,53,77,58,34,53,43,31,1358704
11704,2012,45,20,27,22,62,1002,209,62,82,56,93,74,26,45,39,15,1191394
5837,2012,45,21,41,18,60,1005,131,69,78,57,92,74,25,41,31,11,1354332
6101,2012,39,19,12,16,56,353,150,55,72,53,81,59,32,52,42,27,1186306
4010,2012,43,25,9,13,66,277,130,57,69,52,77,59,34,51,41,29,1105586
1092,2012,35,20,11,19,53,405,142,56,73,53,82,66,31,50,43,25,902450
7452,2012,34,25,11,13,59,463,132,54,75,52,81,62,30,48,40,23,1171600
8806,2012,37,18,10,8,52,133,131,64,69,53,78,59,33,53,39,31,1044847
678,2012,42,24,23,18,66,499,126,60,74,56,85,65,28,50,44,22,1063408
22,2012,31,16,11,5,47,291,159,60,75,52,82,63,30,51,38,24,818595
4061,2012,37,25,20,13,61,705,236,58,80,50,85,63,27,46,38,18,933211
791,2012,38,27,15,11,61,275,108,61,71,52,78,57,30,51,44,25,947316
672,2012,32,22,10,11,54,250,206,69,70,51,81,65,31,49,40,24,1005846
75,2012,33,21,10,12,54,236,116,62,71,52,80,60,31,54,41,26,879840
12083,2012,14,4,9,3,13,160,47,62,82,57,89,60,27,44,43,16,477833
553,2012,21,11,8,8,31,301,78,53,78,55,85,66,31,51,44,24,622850
854,2012,23,26,6,8,45,180,55,61,71,52,78,59,28,48,40,21,821877
520,2012,20,25,13,8,41,204,132,62,69,51,75,57,28,47,45,19,917106
9675,2012,19,15,5,8,30,114,103,56,70,50,75,62,29,54,45,28,462599
427,2012,24,26,13,8,45,211,142,62,70,51,79,66,31,48,41,22,1345031
7043,2012,24,20,10,9,44,324,181,56,74,50,82,69,29,49,37,21,544400
7127,2012,26,22,12,11,45,260,126,57,70,52,79,62,29,50,38,23,574869
1035,2012,23,23,3,7,45,186,113,62,69,46,74,56,32,47,35,23,1093338
650,2012,27,23,13,11,49,334,190,65,71,49,79,62,30,51,42,24,663888
4009,2012,35,25,13,10,58,379,184,55,73,53,81,60,29,50,41,23,582812
7459,2012,30,26,21,15,56,638,177,64,75,53,85,66,28,46,35,16,711108
7295,2012,26,29,11,10,52,424,116,61,71,45,74,56,31,51,41,25,763366
89,2012,23,16,12,10,39,358,72,66,75,53,84,60,26,48,36,18,549286
468,2012,26,27,14,25,53,543,180,57,77,52,86,70,27,44,36,15,723420
558,2012,26,27,12,11,51,145,100,68,67,47,75,57,30,49,43,23,567953
