ID1_G,ID2_G,ID_T_G,ID_R_G,PREDICTION
30589,54796,13296,4,1
54409,24429,13296,4,1
28762,4025,13296,4,2
26009,19584,13296,4,2
12430,12767,13296,4,1
54797,24310,13296,4,1
54790,26730,13296,4,1
54792,54791,13296,4,1
11948,24531,13298,3,1
17928,36821,13298,3,1
11224,30801,13298,3,1
2034,54816,13433,4,1
18457,6694,13433,4,1
27095,26711,13433,4,1
45921,53759,13433,4,1
28898,9658,13298,3,1
25795,12871,13298,4,2
32383,19729,13427,4,1
33890,30218,13427,4,1
13348,18495,13298,4,1
20653,23348,13298,4,1
22560,25533,13299,2,2
21520,4453,13299,2,1
26205,22189,13299,2,1
26845,26887,13299,2,2
12454,25040,13427,4,1
23197,37276,13427,4,1
21177,10971,13297,3,2
16996,13267,13297,3,1
54809,54810,13298,4,1
45535,39340,13298,4,1
25451,7545,13299,2,1
18122,27482,13299,2,2
1953,10011,13299,2,2
12498,29457,13299,2,1
4453,25533,13299,3,2
23753,54813,13427,4,1
49072,43596,13431,4,1
40228,25546,13431,4,1
32977,7145,13431,4,1
21431,38551,13431,4,1
14609,6831,12831,4,1
10590,8515,13297,3,1
14510,7889,13297,3,2
8753,4236,13297,4,1
7545,18122,13299,3,2
26887,22189,13299,3,2
36852,54207,13425,4,1
54812,21392,13425,4,1
37527,13283,13425,4,1
21467,24073,13425,4,1
43952,14738,13425,4,1
9892,29271,13425,4,2
18650,18747,13425,4,1
29960,29892,13425,4,1
54782,54783,12831,4,1
26923,9488,12831,4,1
14814,10320,13297,4,2
875,7806,12831,4,2
6627,11009,12831,4,1
39942,54820,13297,4,1
28087,26381,12831,4,1
36805,54819,13297,4,1
40434,13722,13297,4,2
47580,11127,12831,4,1
12921,10844,13296,4,1
29593,11181,13423,4,1
28924,17316,13423,4,1
7234,10203,13423,4,2
29672,12195,13423,4,1
20133,20559,13423,4,1
29906,14543,13423,4,2
29262,35130,13423,4,1
9649,22269,13296,4,1
14606,763,13296,4,1
10901,1569,13296,4,2
5083,11742,13296,4,1
7462,1264,13296,4,2
728,12587,13296,4,2
22428,12852,13296,4,2
