ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,DATE_PARSED_GAME,DATE_NUMBER_GAME
30589,54796,13296,4,2016-08-01 00:00:00,208--6--20,6081
54409,24429,13296,4,2016-08-01 00:00:00,208--6--20,6081
28762,4025,13296,4,2016-08-01 00:00:00,208--6--20,6081
26009,19584,13296,4,2016-08-01 00:00:00,208--6--20,6081
12430,12767,13296,4,2016-08-01 00:00:00,208--6--20,6081
54797,24310,13296,4,2016-08-01 00:00:00,208--6--20,6081
54790,26730,13296,4,2016-08-01 00:00:00,208--6--20,6081
54792,54791,13296,4,2016-08-01 00:00:00,208--6--20,6081
11948,24531,13298,3,2016-08-01 00:00:00,208--6--20,6081
17928,36821,13298,3,2016-08-01 00:00:00,208--6--20,6081
11224,30801,13298,3,2016-08-01 00:00:00,208--6--20,6081
2034,54816,13433,4,2016-08-01 00:00:00,208--6--20,6081
18457,6694,13433,4,2016-08-01 00:00:00,208--6--20,6081
27095,26711,13433,4,2016-08-01 00:00:00,208--6--20,6081
45921,53759,13433,4,2016-08-01 00:00:00,208--6--20,6081
28898,9658,13298,3,2016-08-01 00:00:00,208--6--20,6081
25795,12871,13298,4,2016-08-01 00:00:00,208--6--20,6081
32383,19729,13427,4,2016-08-01 00:00:00,208--6--20,6081
33890,30218,13427,4,2016-08-01 00:00:00,208--6--20,6081
13348,18495,13298,4,2016-08-01 00:00:00,208--6--20,6081
20653,23348,13298,4,2016-08-01 00:00:00,208--6--20,6081
22560,25533,13299,2,2016-08-01 00:00:00,208--6--20,6081
21520,4453,13299,2,2016-08-01 00:00:00,208--6--20,6081
26205,22189,13299,2,2016-08-01 00:00:00,208--6--20,6081
26845,26887,13299,2,2016-08-01 00:00:00,208--6--20,6081
12454,25040,13427,4,2016-08-01 00:00:00,208--6--20,6081
23197,37276,13427,4,2016-08-01 00:00:00,208--6--20,6081
21177,10971,13297,3,2016-08-01 00:00:00,208--6--20,6081
16996,13267,13297,3,2016-08-01 00:00:00,208--6--20,6081
54809,54810,13298,4,2016-08-01 00:00:00,208--6--20,6081
45535,39340,13298,4,2016-08-01 00:00:00,208--6--20,6081
25451,7545,13299,2,2016-08-01 00:00:00,208--6--20,6081
18122,27482,13299,2,2016-08-01 00:00:00,208--6--20,6081
1953,10011,13299,2,2016-08-01 00:00:00,208--6--20,6081
12498,29457,13299,2,2016-08-01 00:00:00,208--6--20,6081
4453,25533,13299,3,2016-08-01 00:00:00,208--6--20,6081
23753,54813,13427,4,2016-08-01 00:00:00,208--6--20,6081
49072,43596,13431,4,2016-08-01 00:00:00,208--6--20,6081
40228,25546,13431,4,2016-08-01 00:00:00,208--6--20,6081
32977,7145,13431,4,2016-08-01 00:00:00,208--6--20,6081
21431,38551,13431,4,2016-08-01 00:00:00,208--6--20,6081
14609,6831,12831,4,2016-08-01 00:00:00,208--6--20,6081
10590,8515,13297,3,2016-08-01 00:00:00,208--6--20,6081
14510,7889,13297,3,2016-08-01 00:00:00,208--6--20,6081
8753,4236,13297,4,2016-08-01 00:00:00,208--6--20,6081
7545,18122,13299,3,2016-08-01 00:00:00,208--6--20,6081
26887,22189,13299,3,2016-08-01 00:00:00,208--6--20,6081
36852,54207,13425,4,2016-08-01 00:00:00,208--6--20,6081
54812,21392,13425,4,2016-08-01 00:00:00,208--6--20,6081
37527,13283,13425,4,2016-08-01 00:00:00,208--6--20,6081
21467,24073,13425,4,2016-08-01 00:00:00,208--6--20,6081
43952,14738,13425,4,2016-08-01 00:00:00,208--6--20,6081
9892,29271,13425,4,2016-08-01 00:00:00,208--6--20,6081
18650,18747,13425,4,2016-08-01 00:00:00,208--6--20,6081
29960,29892,13425,4,2016-08-01 00:00:00,208--6--20,6081
54782,54783,12831,4,2016-08-01 00:00:00,208--6--20,6081
26923,9488,12831,4,2016-08-01 00:00:00,208--6--20,6081
14814,10320,13297,4,2016-08-01 00:00:00,208--6--20,6081
875,7806,12831,4,2016-08-01 00:00:00,208--6--20,6081
6627,11009,12831,4,2016-08-01 00:00:00,208--6--20,6081
39942,54820,13297,4,2016-08-01 00:00:00,208--6--20,6081
28087,26381,12831,4,2016-08-01 00:00:00,208--6--20,6081
36805,54819,13297,4,2016-08-01 00:00:00,208--6--20,6081
40434,13722,13297,4,2016-08-01 00:00:00,208--6--20,6081
47580,11127,12831,4,2016-08-01 00:00:00,208--6--20,6081
12921,10844,13296,4,2016-08-02 00:00:00,208--6--20,6082
29593,11181,13423,4,2016-08-01 00:00:00,208--6--20,6081
28924,17316,13423,4,2016-08-01 00:00:00,208--6--20,6081
7234,10203,13423,4,2016-08-01 00:00:00,208--6--20,6081
29672,12195,13423,4,2016-08-01 00:00:00,208--6--20,6081
20133,20559,13423,4,2016-08-01 00:00:00,208--6--20,6081
29906,14543,13423,4,2016-08-01 00:00:00,208--6--20,6081
29262,35130,13423,4,2016-08-01 00:00:00,208--6--20,6081
9649,22269,13296,4,2016-08-02 00:00:00,208--6--20,6082
14606,763,13296,4,2016-08-02 00:00:00,208--6--20,6082
10901,1569,13296,4,2016-08-02 00:00:00,208--6--20,6082
5083,11742,13296,4,2016-08-02 00:00:00,208--6--20,6082
7462,1264,13296,4,2016-08-02 00:00:00,208--6--20,6082
728,12587,13296,4,2016-08-02 00:00:00,208--6--20,6082
22428,12852,13296,4,2016-08-02 00:00:00,208--6--20,6082
14387,641,13296,4,2016-08-02 00:00:00,208--6--20,6082
36278,12527,13296,4,2016-08-02 00:00:00,208--6--20,6082
28073,17831,13296,4,2016-08-02 00:00:00,208--6--20,6082
10011,12498,13299,3,2016-08-02 00:00:00,208--6--20,6082
20463,10813,13299,4,2016-08-02 00:00:00,208--6--20,6082
12759,12452,13427,4,2016-08-02 00:00:00,208--6--20,6082
26471,34560,13430,4,2016-08-02 00:00:00,208--6--20,6082
33674,30320,13430,4,2016-08-02 00:00:00,208--6--20,6082
21826,9114,13430,4,2016-08-02 00:00:00,208--6--20,6082
13966,28074,13437,4,2016-08-02 00:00:00,208--6--20,6082
12031,8555,13437,4,2016-08-02 00:00:00,208--6--20,6082
8812,25757,13437,4,2016-08-02 00:00:00,208--6--20,6082
5058,6642,13296,4,2016-08-02 00:00:00,208--6--20,6082
34537,15021,13296,4,2016-08-02 00:00:00,208--6--20,6082
53761,15709,13296,4,2016-08-02 00:00:00,208--6--20,6082
11948,18648,13298,4,2016-08-02 00:00:00,208--6--20,6082
7555,2179,13298,4,2016-08-02 00:00:00,208--6--20,6082
30856,23298,13298,4,2016-08-02 00:00:00,208--6--20,6082
28898,12614,13298,4,2016-08-02 00:00:00,208--6--20,6082
11881,24840,13299,4,2016-08-02 00:00:00,208--6--20,6082
12491,13820,13299,4,2016-08-02 00:00:00,208--6--20,6082
13764,11981,13299,4,2016-08-02 00:00:00,208--6--20,6082
20657,18250,13428,4,2016-08-02 00:00:00,208--6--20,6082
30211,36042,13428,4,2016-08-02 00:00:00,208--6--20,6082
13225,30482,13428,4,2016-08-02 00:00:00,208--6--20,6082
29889,29795,13430,4,2016-08-02 00:00:00,208--6--20,6082
26764,35087,13430,4,2016-08-02 00:00:00,208--6--20,6082
9634,7657,13430,4,2016-08-02 00:00:00,208--6--20,6082
1886,17358,13430,4,2016-08-02 00:00:00,208--6--20,6082
23590,13884,13430,4,2016-08-02 00:00:00,208--6--20,6082
33860,34498,13430,4,2016-08-02 00:00:00,208--6--20,6082
22771,18338,13430,4,2016-08-02 00:00:00,208--6--20,6082
29038,25539,13437,4,2016-08-02 00:00:00,208--6--20,6082
29151,25621,13437,4,2016-08-02 00:00:00,208--6--20,6082
21329,19474,13298,4,2016-08-02 00:00:00,208--6--20,6082
11683,11224,13298,4,2016-08-02 00:00:00,208--6--20,6082
10400,5961,13298,4,2016-08-02 00:00:00,208--6--20,6082
17928,5838,13298,4,2016-08-02 00:00:00,208--6--20,6082
53736,53348,13299,4,2016-08-02 00:00:00,208--6--20,6082
25543,17359,13299,4,2016-08-02 00:00:00,208--6--20,6082
23544,20542,13299,4,2016-08-02 00:00:00,208--6--20,6082
33200,37105,13427,4,2016-08-02 00:00:00,208--6--20,6082
23260,30213,13427,4,2016-08-02 00:00:00,208--6--20,6082
21330,22892,13427,4,2016-08-02 00:00:00,208--6--20,6082
32669,26829,13427,4,2016-08-02 00:00:00,208--6--20,6082
18627,33648,13427,4,2016-08-02 00:00:00,208--6--20,6082
40026,26958,13428,4,2016-08-02 00:00:00,208--6--20,6082
12525,39441,13430,4,2016-08-02 00:00:00,208--6--20,6082
31111,13758,13430,4,2016-08-02 00:00:00,208--6--20,6082
29798,10999,13430,4,2016-08-02 00:00:00,208--6--20,6082
12055,39445,13433,4,2016-08-02 00:00:00,208--6--20,6082
25160,47555,13433,4,2016-08-02 00:00:00,208--6--20,6082
9041,25408,13433,4,2016-08-02 00:00:00,208--6--20,6082
22435,19755,13433,4,2016-08-02 00:00:00,208--6--20,6082
13637,14530,13433,4,2016-08-02 00:00:00,208--6--20,6082
26702,27745,13435,4,2016-08-02 00:00:00,208--6--20,6082
23072,25000,13435,4,2016-08-02 00:00:00,208--6--20,6082
18076,18071,13435,4,2016-08-02 00:00:00,208--6--20,6082
26832,45499,13435,4,2016-08-02 00:00:00,208--6--20,6082
27084,42971,13435,4,2016-08-02 00:00:00,208--6--20,6082
14377,7807,13436,4,2016-08-02 00:00:00,208--6--20,6082
7612,28685,13436,4,2016-08-02 00:00:00,208--6--20,6082
12222,4344,13436,4,2016-08-02 00:00:00,208--6--20,6082
4461,22439,13298,4,2016-08-02 00:00:00,208--6--20,6082
23142,22429,13298,4,2016-08-02 00:00:00,208--6--20,6082
36821,20655,13298,4,2016-08-02 00:00:00,208--6--20,6082
14982,24084,13299,4,2016-08-02 00:00:00,208--6--20,6082
54799,34649,13299,4,2016-08-02 00:00:00,208--6--20,6082
54800,23704,13299,4,2016-08-02 00:00:00,208--6--20,6082
18524,20104,13299,4,2016-08-02 00:00:00,208--6--20,6082
54825,13804,13423,4,2016-08-02 00:00:00,208--6--20,6082
24009,33255,13423,4,2016-08-02 00:00:00,208--6--20,6082
13987,33161,13423,4,2016-08-02 00:00:00,208--6--20,6082
51078,24932,13423,4,2016-08-02 00:00:00,208--6--20,6082
37268,30692,13423,4,2016-08-02 00:00:00,208--6--20,6082
23816,21646,13423,4,2016-08-02 00:00:00,208--6--20,6082
1742,25104,13427,4,2016-08-02 00:00:00,208--6--20,6082
26602,7902,13427,4,2016-08-02 00:00:00,208--6--20,6082
22069,23375,13427,4,2016-08-02 00:00:00,208--6--20,6082
26002,28828,13430,4,2016-08-02 00:00:00,208--6--20,6082
37309,23365,13430,4,2016-08-02 00:00:00,208--6--20,6082
14477,32835,13430,4,2016-08-02 00:00:00,208--6--20,6082
53909,31096,13434,4,2016-08-02 00:00:00,208--6--20,6082
8672,28265,13434,4,2016-08-02 00:00:00,208--6--20,6082
